"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 13 19:41:48 GMT 2021","Fri Aug 13 19:41:48 GMT 2021","7","test","test_conduit","TestConduit","","","test_home_page_appearance",""
"failed","Fri Aug 13 19:41:51 GMT 2021","Fri Aug 13 19:41:53 GMT 2021","1564","test","test_registration","TestConduitRegistration","","","test_registration",""
"broken","Fri Aug 13 19:41:50 GMT 2021","Fri Aug 13 19:41:50 GMT 2021","0","test","test_login","TestConduitLogin","","","test_login",""
