"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 13 19:09:08 GMT 2021","Fri Aug 13 19:09:12 GMT 2021","4348","test","test_regisztracio","TestConduitRegistration","","","test_registration",""
"broken","Fri Aug 13 19:09:05 GMT 2021","Fri Aug 13 19:09:06 GMT 2021","540","test","test_login","TestConduitCookies","","","test_login",""
"passed","Fri Aug 13 19:09:03 GMT 2021","Fri Aug 13 19:09:03 GMT 2021","7","test","test_conduit","TestConduit","","","test_home_page_appearance",""
"passed","Fri Aug 13 19:09:05 GMT 2021","Fri Aug 13 19:09:05 GMT 2021","84","test","test_cookies","TestConduitCookies","","","test_cookies",""
