"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 22 19:24:08 GMT 2021","Sun Aug 22 19:24:15 GMT 2021","7121","test","test_1_login","TestConduitLogin","","","test_login",""
"passed","Sun Aug 22 19:25:14 GMT 2021","Sun Aug 22 19:25:22 GMT 2021","8076","test","test_modify_bio","TestConduitModifyBio","","","test_modifybio",""
"passed","Sun Aug 22 19:24:50 GMT 2021","Sun Aug 22 19:24:57 GMT 2021","7127","test","test_create_bio","TestConduitCreateBio","","","test_createbio",""
"passed","Sun Aug 22 19:25:24 GMT 2021","Sun Aug 22 19:25:28 GMT 2021","4410","test","test_registration","TestConduitRegistration","","","test_registration",""
"passed","Sun Aug 22 19:24:48 GMT 2021","Sun Aug 22 19:24:48 GMT 2021","4","test","test_conduit","TestConduit","","","test_home_page_appearance",""
"passed","Sun Aug 22 19:25:11 GMT 2021","Sun Aug 22 19:25:12 GMT 2021","1383","test","test_logout","TestConduitLogout","","","test_logout",""
"passed","Sun Aug 22 19:25:30 GMT 2021","Sun Aug 22 19:25:32 GMT 2021","1737","test","test_titles_to_file","TestConduitTitlestoFile","","","test_titles_to_file",""
"passed","Sun Aug 22 19:24:58 GMT 2021","Sun Aug 22 19:24:59 GMT 2021","1054","test","test_decline_cookie","TestConduitCookieDecline","","","test_declinecookie",""
"passed","Sun Aug 22 19:24:27 GMT 2021","Sun Aug 22 19:24:28 GMT 2021","1053","test","test_accept_cookie","TestConduitCookieAccept","","","test_acceptcookie",""
"passed","Sun Aug 22 19:25:07 GMT 2021","Sun Aug 22 19:25:09 GMT 2021","1538","test","test_list_pagination","TestConduitListPagination","","","test_pagination",""
"passed","Sun Aug 22 19:24:30 GMT 2021","Sun Aug 22 19:24:46 GMT 2021","16387","test","test_add_articles_from_csv","TestConduitAddArticlesCsv","","","test_add_articles_csv",""
"failed","Sun Aug 22 19:24:17 GMT 2021","Sun Aug 22 19:24:25 GMT 2021","8026","test","test_2_list_favorited_articles","TestConduitListFavoritedArticles","","","test_list_favorited_articles",""
"passed","Sun Aug 22 19:25:00 GMT 2021","Sun Aug 22 19:25:06 GMT 2021","5224","test","test_delete_article","TestConduitDeleteArticle","","","test_delete_article",""
