"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 15 01:58:31 GMT 2021","Sun Aug 15 01:58:39 GMT 2021","7486","test","test_create_bio","TestConduitCreateBio","","","test_createbio",""
"passed","Sun Aug 15 01:58:41 GMT 2021","Sun Aug 15 01:58:46 GMT 2021","5157","test","test_delete_article","TestConduitDeleteArticle","","","test_delete_article",""
"passed","Sun Aug 15 01:58:00 GMT 2021","Sun Aug 15 01:58:08 GMT 2021","7939","test","test_2_list_favorited_articles","TestConduitListFavoritedArticles","","","test_list_favorited_articles",""
"broken","Sun Aug 15 01:58:53 GMT 2021","Sun Aug 15 01:59:00 GMT 2021","7457","test","test_modify_bio","TestConduitModifyBio","","","test_modifybio",""
"passed","Sun Aug 15 01:59:08 GMT 2021","Sun Aug 15 01:59:10 GMT 2021","1688","test","test_titles_to_file","TestConduitTitlestoFile","","","test_titles_to_file",""
"passed","Sun Aug 15 01:58:09 GMT 2021","Sun Aug 15 01:58:10 GMT 2021","1051","test","test_accept_cookie","TestConduitCookieAccept","","","test_acceptcookie",""
"passed","Sun Aug 15 01:58:50 GMT 2021","Sun Aug 15 01:58:52 GMT 2021","1381","test","test_logout","TestConduitLogout","","","test_logout",""
"passed","Sun Aug 15 01:58:12 GMT 2021","Sun Aug 15 01:58:28 GMT 2021","16317","test","test_add_articles_from_csv","TestConduitAddArticlesCsv","","","test_add_articles_csv",""
"passed","Sun Aug 15 01:58:39 GMT 2021","Sun Aug 15 01:58:41 GMT 2021","1050","test","test_decline_cookie","TestConduitCookieDecline","","","test_declinecookie",""
"passed","Sun Aug 15 01:59:02 GMT 2021","Sun Aug 15 01:59:06 GMT 2021","4406","test","test_registration","TestConduitRegistration","","","test_registration",""
"passed","Sun Aug 15 01:58:29 GMT 2021","Sun Aug 15 01:58:29 GMT 2021","5","test","test_conduit","TestConduit","","","test_home_page_appearance",""
"passed","Sun Aug 15 01:58:48 GMT 2021","Sun Aug 15 01:58:50 GMT 2021","1485","test","test_list_pagination","TestConduitListPagination","","","test_pagination",""
"passed","Sun Aug 15 01:57:51 GMT 2021","Sun Aug 15 01:57:58 GMT 2021","6938","test","test_1_login","TestConduitLogin","","","test_login",""
