"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 15 01:33:37 GMT 2021","Sun Aug 15 01:33:41 GMT 2021","4398","test","test_registration","TestConduitRegistration","","","test_registration",""
"passed","Sun Aug 15 01:33:24 GMT 2021","Sun Aug 15 01:33:25 GMT 2021","1382","test","test_logout","TestConduitLogout","","","test_logout",""
"passed","Sun Aug 15 01:33:27 GMT 2021","Sun Aug 15 01:33:35 GMT 2021","8054","test","test_modify_bio","TestConduitModifyBio","","","test_modifybio",""
"passed","Sun Aug 15 01:32:24 GMT 2021","Sun Aug 15 01:32:31 GMT 2021","7065","test","test_1_login","TestConduitLogin","","","test_login",""
"passed","Sun Aug 15 01:33:43 GMT 2021","Sun Aug 15 01:33:44 GMT 2021","1695","test","test_titles_to_file","TestConduitTitlestoFile","","","test_titles_to_file",""
"passed","Sun Aug 15 01:33:03 GMT 2021","Sun Aug 15 01:33:03 GMT 2021","6","test","test_conduit","TestConduit","","","test_home_page_appearance",""
"passed","Sun Aug 15 01:33:22 GMT 2021","Sun Aug 15 01:33:23 GMT 2021","1521","test","test_list_pagination","TestConduitListPagination","","","test_pagination",""
"passed","Sun Aug 15 01:33:16 GMT 2021","Sun Aug 15 01:33:21 GMT 2021","5176","test","test_delete_article","TestConduitDeleteArticle","","","test_delete_article",""
"passed","Sun Aug 15 01:32:42 GMT 2021","Sun Aug 15 01:32:43 GMT 2021","1051","test","test_accept_cookie","TestConduitCookieAccept","","","test_acceptcookie",""
"passed","Sun Aug 15 01:32:33 GMT 2021","Sun Aug 15 01:32:40 GMT 2021","7863","test","test_2_list_favorited_articles","TestConduitListFavoritedArticles","","","test_list_favorited_articles",""
"passed","Sun Aug 15 01:32:45 GMT 2021","Sun Aug 15 01:33:02 GMT 2021","16684","test","test_add_articles_from_csv","TestConduitAddArticlesCsv","","","test_add_articles_csv",""
"passed","Sun Aug 15 01:33:05 GMT 2021","Sun Aug 15 01:33:12 GMT 2021","7150","test","test_create_bio","TestConduitCreateBio","","","test_createbio",""
"passed","Sun Aug 15 01:33:14 GMT 2021","Sun Aug 15 01:33:15 GMT 2021","1053","test","test_decline_cookie","TestConduitCookieDecline","","","test_declinecookie",""
