"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 13 22:05:18 GMT 2021","Fri Aug 13 22:05:19 GMT 2021","1053","test","test_decline_cookie","TestConduitCookieDecline","","","test_declinecookie",""
"broken","Fri Aug 13 22:05:21 GMT 2021","Fri Aug 13 22:05:23 GMT 2021","1577","test","test_login","TestConduitLogin","","","test_login",""
"passed","Fri Aug 13 22:05:16 GMT 2021","Fri Aug 13 22:05:16 GMT 2021","5","test","test_conduit","TestConduit","","","test_home_page_appearance",""
"passed","Fri Aug 13 22:05:13 GMT 2021","Fri Aug 13 22:05:14 GMT 2021","1092","test","test_accept_cookie","TestConduitCookieAccept","","","test_acceptcookie",""
"failed","Fri Aug 13 22:05:23 GMT 2021","Fri Aug 13 22:05:25 GMT 2021","1548","test","test_registration","TestConduitRegistration","","","test_registration",""
