"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Aug 14 18:12:21 GMT 2021","Sat Aug 14 18:12:21 GMT 2021","4","test","test_conduit","TestConduit","","","test_home_page_appearance",""
"passed","Sat Aug 14 18:12:23 GMT 2021","Sat Aug 14 18:12:24 GMT 2021","1053","test","test_decline_cookie","TestConduitCookieDecline","","","test_declinecookie",""
"broken","Sat Aug 14 18:12:26 GMT 2021","Sat Aug 14 18:12:28 GMT 2021","2495","test","test_login","TestConduitLogin","","","test_login",""
"passed","Sat Aug 14 18:12:30 GMT 2021","Sat Aug 14 18:12:35 GMT 2021","4406","test","test_registration","TestConduitRegistration","","","test_registration",""
"passed","Sat Aug 14 18:12:20 GMT 2021","Sat Aug 14 18:12:21 GMT 2021","1082","test","test_accept_cookie","TestConduitCookieAccept","","","test_acceptcookie",""
