"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Aug 14 23:10:07 GMT 2021","Sat Aug 14 23:10:09 GMT 2021","1401","test","test_logout","TestConduitLogout","","","test_logout",""
"failed","Sat Aug 14 23:09:57 GMT 2021","Sat Aug 14 23:10:03 GMT 2021","5933","test","test_list_favorited_articles","TestConduitListFavoritedArticles","","","test_list_favorited_articles",""
"passed","Sat Aug 14 23:10:04 GMT 2021","Sat Aug 14 23:10:05 GMT 2021","1539","test","test_list_pagination","TestConduitListPagination","","","test_pagination",""
"passed","Sat Aug 14 23:10:20 GMT 2021","Sat Aug 14 23:10:25 GMT 2021","4430","test","test_registration","TestConduitRegistration","","","test_registration",""
"passed","Sat Aug 14 23:10:26 GMT 2021","Sat Aug 14 23:10:28 GMT 2021","1810","test","test_titles_to_file","TestConduitTitlestoFile","","","test_titles_to_file",""
"passed","Sat Aug 14 23:09:25 GMT 2021","Sat Aug 14 23:09:26 GMT 2021","1058","test","test_accept_cookie","TestConduitCookieAccept","","","test_acceptcookie",""
"passed","Sat Aug 14 23:09:17 GMT 2021","Sat Aug 14 23:09:24 GMT 2021","6966","test","test_1login","TestConduitLogin","","","test_login",""
"passed","Sat Aug 14 23:10:10 GMT 2021","Sat Aug 14 23:10:18 GMT 2021","8110","test","test_modify_bio","TestConduitModifyBio","","","test_modifybio",""
"passed","Sat Aug 14 23:09:50 GMT 2021","Sat Aug 14 23:09:55 GMT 2021","5268","test","test_delete_article","TestConduitDeleteArticle","","","test_delete_article",""
"passed","Sat Aug 14 23:10:30 GMT 2021","Sat Aug 14 23:10:37 GMT 2021","7189","test","test_xcreate_bio","TestConduitCreateBio","","","test_createbio",""
"passed","Sat Aug 14 23:09:48 GMT 2021","Sat Aug 14 23:09:49 GMT 2021","1052","test","test_decline_cookie","TestConduitCookieDecline","","","test_declinecookie",""
"passed","Sat Aug 14 23:09:28 GMT 2021","Sat Aug 14 23:09:45 GMT 2021","16611","test","test_add_articles_from_csv","TestConduitAddArticlesCsv","","","test_add_articles_csv",""
"passed","Sat Aug 14 23:09:47 GMT 2021","Sat Aug 14 23:09:47 GMT 2021","6","test","test_conduit","TestConduit","","","test_home_page_appearance",""
