"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Aug 14 23:32:56 GMT 2021","Sat Aug 14 23:33:03 GMT 2021","6954","test","test_1_login","TestConduitLogin","","","test_login",""
"passed","Sat Aug 14 23:33:52 GMT 2021","Sat Aug 14 23:33:54 GMT 2021","1499","test","test_list_pagination","TestConduitListPagination","","","test_pagination",""
"passed","Sat Aug 14 23:33:15 GMT 2021","Sat Aug 14 23:33:31 GMT 2021","16428","test","test_add_articles_from_csv","TestConduitAddArticlesCsv","","","test_add_articles_csv",""
"broken","Sat Aug 14 23:33:35 GMT 2021","Sat Aug 14 23:33:41 GMT 2021","6287","test","test_create_bio","TestConduitCreateBio","","","test_createbio",""
"passed","Sat Aug 14 23:34:14 GMT 2021","Sat Aug 14 23:34:15 GMT 2021","1770","test","test_titles_to_file","TestConduitTitlestoFile","","","test_titles_to_file",""
"passed","Sat Aug 14 23:33:58 GMT 2021","Sat Aug 14 23:34:06 GMT 2021","8102","test","test_modify_bio","TestConduitModifyBio","","","test_modifybio",""
"failed","Sat Aug 14 23:33:04 GMT 2021","Sat Aug 14 23:33:10 GMT 2021","5917","test","test_2_list_favorited_articles","TestConduitListFavoritedArticles","","","test_list_favorited_articles",""
"passed","Sat Aug 14 23:33:33 GMT 2021","Sat Aug 14 23:33:33 GMT 2021","4","test","test_conduit","TestConduit","","","test_home_page_appearance",""
"passed","Sat Aug 14 23:33:12 GMT 2021","Sat Aug 14 23:33:13 GMT 2021","1053","test","test_accept_cookie","TestConduitCookieAccept","","","test_acceptcookie",""
"passed","Sat Aug 14 23:33:46 GMT 2021","Sat Aug 14 23:33:51 GMT 2021","5217","test","test_delete_article","TestConduitDeleteArticle","","","test_delete_article",""
"passed","Sat Aug 14 23:33:43 GMT 2021","Sat Aug 14 23:33:44 GMT 2021","1054","test","test_decline_cookie","TestConduitCookieDecline","","","test_declinecookie",""
"passed","Sat Aug 14 23:34:08 GMT 2021","Sat Aug 14 23:34:12 GMT 2021","4427","test","test_registration","TestConduitRegistration","","","test_registration",""
"passed","Sat Aug 14 23:33:55 GMT 2021","Sat Aug 14 23:33:56 GMT 2021","1391","test","test_logout","TestConduitLogout","","","test_logout",""
