"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Aug 14 22:07:39 GMT 2021","Sat Aug 14 22:07:46 GMT 2021","7038","test","test_1login","TestConduitLogin","","","test_login",""
"passed","Sat Aug 14 22:07:54 GMT 2021","Sat Aug 14 22:07:55 GMT 2021","1056","test","test_decline_cookie","TestConduitCookieDecline","","","test_declinecookie",""
"passed","Sat Aug 14 22:07:56 GMT 2021","Sat Aug 14 22:07:56 GMT 2021","996","test","test_list_pagination","TestConduitListPagination","","","test_pagination",""
"broken","Sat Aug 14 22:07:49 GMT 2021","Sat Aug 14 22:07:50 GMT 2021","1402","test","test_add_articles_from_csv","TestConduitAddArticlesCsv","","","test_add_articles_csv",""
"passed","Sat Aug 14 22:07:47 GMT 2021","Sat Aug 14 22:07:48 GMT 2021","1049","test","test_accept_cookie","TestConduitCookieAccept","","","test_acceptcookie",""
"passed","Sat Aug 14 22:07:58 GMT 2021","Sat Aug 14 22:07:59 GMT 2021","1352","test","test_logout","TestConduitLogout","","","test_logout",""
"passed","Sat Aug 14 22:08:09 GMT 2021","Sat Aug 14 22:08:14 GMT 2021","4365","test","test_registration","TestConduitRegistration","","","test_registration",""
"passed","Sat Aug 14 22:07:52 GMT 2021","Sat Aug 14 22:07:52 GMT 2021","5","test","test_conduit","TestConduit","","","test_home_page_appearance",""
"passed","Sat Aug 14 22:08:01 GMT 2021","Sat Aug 14 22:08:09 GMT 2021","7519","test","test_modify_bio","TestConduitModifyBio","","","test_modifybio",""
"passed","Sat Aug 14 22:08:15 GMT 2021","Sat Aug 14 22:08:22 GMT 2021","6969","test","test_xcreate_bio","TestConduitCreateBio","","","test_createbio",""
