"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Aug 14 17:40:18 GMT 2021","Sat Aug 14 17:40:19 GMT 2021","1080","test","test_accept_cookie","TestConduitCookieAccept","","","test_acceptcookie",""
"passed","Sat Aug 14 17:40:20 GMT 2021","Sat Aug 14 17:40:20 GMT 2021","5","test","test_conduit","TestConduit","","","test_home_page_appearance",""
"passed","Sat Aug 14 17:40:27 GMT 2021","Sat Aug 14 17:40:31 GMT 2021","4355","test","test_registration","TestConduitRegistration","","","test_registration",""
"broken","Sat Aug 14 17:40:23 GMT 2021","Sat Aug 14 17:40:25 GMT 2021","2454","test","test_login","TestConduitLogin","","","test_login",""
"passed","Sat Aug 14 17:40:21 GMT 2021","Sat Aug 14 17:40:22 GMT 2021","1047","test","test_decline_cookie","TestConduitCookieDecline","","","test_declinecookie",""
