"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Aug 13 21:34:37 GMT 2021","Fri Aug 13 21:34:40 GMT 2021","3380","test","test_login","TestConduitLogin","","","test_login",""
"passed","Fri Aug 13 21:34:42 GMT 2021","Fri Aug 13 21:34:43 GMT 2021","1468","test","test_registration","TestConduitRegistration","","","test_registration",""
"passed","Fri Aug 13 21:34:35 GMT 2021","Fri Aug 13 21:34:35 GMT 2021","5","test","test_conduit","TestConduit","","","test_home_page_appearance",""
