"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Aug 14 21:31:06 GMT 2021","Sat Aug 14 21:31:08 GMT 2021","1341","test","test_logout","TestConduitLogout","","","test_logout",""
"passed","Sat Aug 14 21:30:59 GMT 2021","Sat Aug 14 21:30:59 GMT 2021","4","test","test_conduit","TestConduit","","","test_home_page_appearance",""
"passed","Sat Aug 14 21:31:01 GMT 2021","Sat Aug 14 21:31:02 GMT 2021","1048","test","test_decline_cookie","TestConduitCookieDecline","","","test_declinecookie",""
"passed","Sat Aug 14 21:31:04 GMT 2021","Sat Aug 14 21:31:05 GMT 2021","990","test","test_list_pagination","TestConduitListPagination","","","test_pagination",""
"passed","Sat Aug 14 21:30:48 GMT 2021","Sat Aug 14 21:30:55 GMT 2021","6849","test","test_1login","TestConduitLogin","","","test_login",""
"passed","Sat Aug 14 21:30:57 GMT 2021","Sat Aug 14 21:30:58 GMT 2021","1047","test","test_accept_cookie","TestConduitCookieAccept","","","test_acceptcookie",""
"passed","Sat Aug 14 21:31:24 GMT 2021","Sat Aug 14 21:31:31 GMT 2021","6853","test","test_xcreate_bio","TestConduitCreateBio","","","test_createbio",""
"broken","Sat Aug 14 21:31:09 GMT 2021","Sat Aug 14 21:31:17 GMT 2021","7394","test","test_modify_bio","TestConduitModifyBio","","","test_modifybio",""
"passed","Sat Aug 14 21:31:18 GMT 2021","Sat Aug 14 21:31:23 GMT 2021","4349","test","test_registration","TestConduitRegistration","","","test_registration",""
