"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Aug 14 16:49:31 GMT 2021","Sat Aug 14 16:49:31 GMT 2021","4","test","test_conduit","TestConduit","","","test_home_page_appearance",""
"broken","Sat Aug 14 16:49:35 GMT 2021","Sat Aug 14 16:49:38 GMT 2021","3057","test","test_login","TestConduitLogin","","","test_login",""
"passed","Sat Aug 14 16:49:39 GMT 2021","Sat Aug 14 16:49:44 GMT 2021","4323","test","test_registration","TestConduitRegistration","","","test_registration",""
"passed","Sat Aug 14 16:49:33 GMT 2021","Sat Aug 14 16:49:34 GMT 2021","1045","test","test_decline_cookie","TestConduitCookieDecline","","","test_declinecookie",""
"passed","Sat Aug 14 16:49:29 GMT 2021","Sat Aug 14 16:49:30 GMT 2021","1051","test","test_accept_cookie","TestConduitCookieAccept","","","test_acceptcookie",""
