"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 06 11:50:28 GMT 2021","Fri Aug 06 11:50:28 GMT 2021","55","test","test_cookies","TestConduitCookies","","","test_cookies",""
"broken","Fri Aug 06 11:50:26 GMT 2021","Fri Aug 06 11:50:26 GMT 2021","340","test","test_bejelentkezes","TestConduitCookies","","","test_login",""
"passed","Fri Aug 06 11:50:28 GMT 2021","Fri Aug 06 11:50:28 GMT 2021","4","test","test_conduit","TestConduit","","","test_home_page_appearance",""
"passed","Fri Aug 06 11:50:30 GMT 2021","Fri Aug 06 11:50:34 GMT 2021","4347","test","test_regisztracio","TestConduitRegistration","","","test_registration",""
