"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Aug 14 16:39:14 GMT 2021","Sat Aug 14 16:39:15 GMT 2021","1077","test","test_accept_cookie","TestConduitCookieAccept","","","test_acceptcookie",""
"broken","Sat Aug 14 16:39:21 GMT 2021","Sat Aug 14 16:39:24 GMT 2021","3361","test","test_login","TestConduitLogin","","","test_login",""
"passed","Sat Aug 14 16:39:18 GMT 2021","Sat Aug 14 16:39:19 GMT 2021","1048","test","test_decline_cookie","TestConduitCookieDecline","","","test_declinecookie",""
"passed","Sat Aug 14 16:39:16 GMT 2021","Sat Aug 14 16:39:16 GMT 2021","4","test","test_conduit","TestConduit","","","test_home_page_appearance",""
"passed","Sat Aug 14 16:39:25 GMT 2021","Sat Aug 14 16:39:29 GMT 2021","4352","test","test_registration","TestConduitRegistration","","","test_registration",""
