"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Aug 14 21:51:14 GMT 2021","Sat Aug 14 21:51:15 GMT 2021","949","test","test_list_pagination","TestConduitListPagination","","","test_pagination",""
"passed","Sat Aug 14 21:51:20 GMT 2021","Sat Aug 14 21:51:28 GMT 2021","7886","test","test_modify_bio","TestConduitModifyBio","","","test_modifybio",""
"passed","Sat Aug 14 21:51:10 GMT 2021","Sat Aug 14 21:51:10 GMT 2021","4","test","test_conduit","TestConduit","","","test_home_page_appearance",""
"passed","Sat Aug 14 21:50:59 GMT 2021","Sat Aug 14 21:51:06 GMT 2021","6789","test","test_1login","TestConduitLogin","","","test_login",""
"passed","Sat Aug 14 21:51:34 GMT 2021","Sat Aug 14 21:51:41 GMT 2021","7377","test","test_xcreate_bio","TestConduitCreateBio","","","test_createbio",""
"passed","Sat Aug 14 21:51:11 GMT 2021","Sat Aug 14 21:51:12 GMT 2021","1046","test","test_decline_cookie","TestConduitCookieDecline","","","test_declinecookie",""
"passed","Sat Aug 14 21:51:29 GMT 2021","Sat Aug 14 21:51:33 GMT 2021","4346","test","test_registration","TestConduitRegistration","","","test_registration",""
"passed","Sat Aug 14 21:51:07 GMT 2021","Sat Aug 14 21:51:08 GMT 2021","1046","test","test_accept_cookie","TestConduitCookieAccept","","","test_acceptcookie",""
"passed","Sat Aug 14 21:51:17 GMT 2021","Sat Aug 14 21:51:18 GMT 2021","1325","test","test_logout","TestConduitLogout","","","test_logout",""
