"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Aug 13 19:58:12 GMT 2021","Fri Aug 13 19:58:13 GMT 2021","1654","test","test_registration","TestConduitRegistration","","","test_registration",""
"passed","Fri Aug 13 19:58:06 GMT 2021","Fri Aug 13 19:58:06 GMT 2021","5","test","test_conduit","TestConduit","","","test_home_page_appearance",""
"broken","Fri Aug 13 19:58:08 GMT 2021","Fri Aug 13 19:58:10 GMT 2021","1699","test","test_login","TestConduitLogin","","","test_login",""
