"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 15 01:31:08 GMT 2021","Sun Aug 15 01:31:24 GMT 2021","16083","test","test_add_articles_from_csv","TestConduitAddArticlesCsv","","","test_add_articles_csv",""
"passed","Sun Aug 15 01:31:48 GMT 2021","Sun Aug 15 01:31:49 GMT 2021","1355","test","test_logout","TestConduitLogout","","","test_logout",""
"passed","Sun Aug 15 01:30:47 GMT 2021","Sun Aug 15 01:30:54 GMT 2021","7255","test","test_1_login","TestConduitLogin","","","test_login",""
"passed","Sun Aug 15 01:30:55 GMT 2021","Sun Aug 15 01:31:03 GMT 2021","7809","test","test_2_list_favorited_articles","TestConduitListFavoritedArticles","","","test_list_favorited_articles",""
"broken","Sun Aug 15 01:31:51 GMT 2021","Sun Aug 15 01:32:00 GMT 2021","8460","test","test_modify_bio","TestConduitModifyBio","","","test_modifybio",""
"passed","Sun Aug 15 01:31:25 GMT 2021","Sun Aug 15 01:31:25 GMT 2021","6","test","test_conduit","TestConduit","","","test_home_page_appearance",""
"passed","Sun Aug 15 01:31:05 GMT 2021","Sun Aug 15 01:31:06 GMT 2021","1052","test","test_accept_cookie","TestConduitCookieAccept","","","test_acceptcookie",""
"passed","Sun Aug 15 01:31:27 GMT 2021","Sun Aug 15 01:31:34 GMT 2021","7434","test","test_create_bio","TestConduitCreateBio","","","test_createbio",""
"passed","Sun Aug 15 01:32:07 GMT 2021","Sun Aug 15 01:32:09 GMT 2021","1729","test","test_titles_to_file","TestConduitTitlestoFile","","","test_titles_to_file",""
"passed","Sun Aug 15 01:31:45 GMT 2021","Sun Aug 15 01:31:46 GMT 2021","1020","test","test_list_pagination","TestConduitListPagination","","","test_pagination",""
"passed","Sun Aug 15 01:31:39 GMT 2021","Sun Aug 15 01:31:44 GMT 2021","5041","test","test_delete_article","TestConduitDeleteArticle","","","test_delete_article",""
"passed","Sun Aug 15 01:32:01 GMT 2021","Sun Aug 15 01:32:06 GMT 2021","4412","test","test_registration","TestConduitRegistration","","","test_registration",""
"passed","Sun Aug 15 01:31:36 GMT 2021","Sun Aug 15 01:31:37 GMT 2021","1050","test","test_decline_cookie","TestConduitCookieDecline","","","test_declinecookie",""
