"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Aug 14 16:07:59 GMT 2021","Sat Aug 14 16:07:59 GMT 2021","4","test","test_conduit","TestConduit","","","test_home_page_appearance",""
"passed","Sat Aug 14 16:08:06 GMT 2021","Sat Aug 14 16:08:11 GMT 2021","4557","test","test_registration","TestConduitRegistration","","","test_registration",""
"passed","Sat Aug 14 16:08:01 GMT 2021","Sat Aug 14 16:08:02 GMT 2021","1050","test","test_decline_cookie","TestConduitCookieDecline","","","test_declinecookie",""
"passed","Sat Aug 14 16:07:56 GMT 2021","Sat Aug 14 16:07:57 GMT 2021","1090","test","test_accept_cookie","TestConduitCookieAccept","","","test_acceptcookie",""
"broken","Sat Aug 14 16:08:03 GMT 2021","Sat Aug 14 16:08:04 GMT 2021","1451","test","test_login","TestConduitLogin","","","test_login",""
