"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Aug 14 20:21:32 GMT 2021","Sat Aug 14 20:21:34 GMT 2021","1412","test","test_logout","TestConduitLogout","","","test_logout",""
"passed","Sat Aug 14 20:21:23 GMT 2021","Sat Aug 14 20:21:23 GMT 2021","5","test","test_conduit","TestConduit","","","test_home_page_appearance",""
"passed","Sat Aug 14 20:21:20 GMT 2021","Sat Aug 14 20:21:21 GMT 2021","1055","test","test_accept_cookie","TestConduitCookieAccept","","","test_acceptcookie",""
"broken","Sat Aug 14 20:21:27 GMT 2021","Sat Aug 14 20:21:31 GMT 2021","3390","test","test_login","TestConduitLogin","","","test_login",""
"passed","Sat Aug 14 20:21:36 GMT 2021","Sat Aug 14 20:21:40 GMT 2021","4511","test","test_registration","TestConduitRegistration","","","test_registration",""
"passed","Sat Aug 14 20:21:24 GMT 2021","Sat Aug 14 20:21:25 GMT 2021","1055","test","test_decline_cookie","TestConduitCookieDecline","","","test_declinecookie",""
